0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,KT0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,S4T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,WT1,WT1,WT1,WT1,WT1,T0,T0,T0,WT1,T0,T0,T0,T0,S3T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,S4T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,WT1,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,WT1,WT1,WT1,T0,T0,T0,WT1,T0,WT1,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1,T0,T0,T0,T0,T0,WT1,WT1,WT1,WT1,WT1,WT1,WT1,T0,T0,T0,WT1,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,KT0,T0,T0,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,PT0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,E1T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1
WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,WT1,T0,T0,WT1,WT1,T0,T0,E1T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,O1T0,WT1
WT1,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,WT1,T0,T0,WT1,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,WT1,T0,T0,T0,WT1,WT1,WT1,WT1,T0,T0,T0,T0,T0,T0,WT1,WT1
WT1,T0,T0,T0,T0,WT1,T0,T0,S4T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,WT1,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,WT1,T0,WT1,WT1,WT1,WT1,T0,T0,S3T0,T0,T0,H0T0,T0,WT1
WT1,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,T0,WT1,WT1,T0,T0,XT0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,T0,T0,T0,T0,S3T0,T0,T0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,WT1,WT1,T0,H1T0,T0,H1T0,WT1,T0,T0,H1T0,T0,T0,S3T0,T0,WT1
WT1,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,T0,LT0,LT0,T0,T0,T0,T0,WT1,T0,T0,T0,T0,T0,T0,T0,WT1
WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1,WT1
